
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Fri Feb  1 06:54:55 2019
     Path: "C:\Users\wbai1\OneDrive\Desktop\CSE687\Projects\Project1"
     Args: *.h, *.cpp, *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     293

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           CodeUtilities.h   namespace                          Utilities      54     334      51
           CodeUtilities.h    function                            preface      60       3       1
           CodeUtilities.h    function                       defaultUsage      65      10       1
           CodeUtilities.h       class                     ProcessCmdLine      81      41      35
           CodeUtilities.h    function                               path     125       4       1
           CodeUtilities.h    function                               path     131       3       1
           CodeUtilities.h    function                           showPath     136       3       1
           CodeUtilities.h    function                             option     143       3       1
           CodeUtilities.h    function                            options     147       4       1
           CodeUtilities.h    function                          hasOption     153      10       3
           CodeUtilities.h    function                        showOptions     165       6       2
           CodeUtilities.h    function                            pattern     175       3       1
           CodeUtilities.h    function                           patterns     180       3       1
           CodeUtilities.h    function                       showPatterns     185       6       2
           CodeUtilities.h    function                           maxItems     195       3       1
           CodeUtilities.h    function                           maxItems     200       3       1
           CodeUtilities.h    function                       showMaxItems     205       4       1
           CodeUtilities.h    function                         parseError     213       3       1
           CodeUtilities.h    function                     ProcessCmdLine     220      34       7
           CodeUtilities.h    function                        showCmdLine     256      20       5
           CodeUtilities.h    function                        showCmdLine     278      14       2
           CodeUtilities.h    function                              usage     294       3       1
           CodeUtilities.h    function                              usage     299       3       1
           CodeUtilities.h       class                          Converter     311       5       3
           CodeUtilities.h    function                           toString     320       5       1
           CodeUtilities.h    function                            toValue     332       6       1
           CodeUtilities.h       class                                Box     346       9       5
           CodeUtilities.h    function                                Box     347       2       1
           CodeUtilities.h    function                                Box     348       2       1
           CodeUtilities.h    function                         operatorT&     349       2       1
           CodeUtilities.h    function                          operator=     350       2       1
           CodeUtilities.h      struct                              ToXml     361       4       2
           CodeUtilities.h    function                             ~ToXml     362       1       1
           CodeUtilities.h       class                     PersistFactory     374      14       3
           CodeUtilities.h    function                     PersistFactory     378       3       1
           CodeUtilities.h    function                              toXml     382       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 Convert.h       class                            Convert      31       6       8
                 Convert.h    function                            Convert      32       2       1
                 Convert.h    function                           ~Convert      33       2       1
                 Convert.h    function                       convert2html      73      25       5
                 Convert.h    function                         insertElem      39      26       4
                 Convert.h    function                           fileName      67       4       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Convert.cpp    function                               main      10       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            DirExplorerN.h   namespace                         FileSystem      72     151      20
            DirExplorerN.h       class                       DirExplorerN      74      42      19
            DirExplorerN.h    function                            version      77       2       1
            DirExplorerN.h    function                       DirExplorerN     120       3       1
            DirExplorerN.h    function                         addPattern     126       5       1
            DirExplorerN.h    function                            recurse     134       3       1
            DirExplorerN.h    function                             search     140       3       1
            DirExplorerN.h    function                               find     149      33       6
            DirExplorerN.h    function                             doFile     185       4       1
            DirExplorerN.h    function                              doDir     192       4       1
            DirExplorerN.h    function                          fileCount     199       3       1
            DirExplorerN.h    function                           dirCount     205       3       1
            DirExplorerN.h    function                          showStats     211       3       1
            DirExplorerN.h    function                        getFilePath     216       3       1
            DirExplorerN.h    function                        getFileName     220       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          DirExplorerN.cpp    function                               main      17      37       5

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 Display.h       class                            Display      29       9       6
                 Display.h    function                            Display      30       1       1
                 Display.h    function                           ~Display      31       1       1
                 Display.h    function                         setBrowser      40       3       1
                 Display.h    function                           showHtml      45      13       2
                 Display.h    function                                  ]      51       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Display.cpp    function                               main      10       8       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Executive.h       class                          Executive      43      19      15
               Executive.h    function                          Executive      44       1       1
               Executive.h    function                         ~Executive      46       1       1
               Executive.h    function                          Executive      64       6       2
               Executive.h    function                          findFiles      72      41       6
               Executive.h    function                       convertFiles     116       5       2
               Executive.h    function                        displayHtml     124       8       2

